#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T13:04:41 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T13:04:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/A+A/625/A14/table5&-source=J/A+A/625/A14/table5&-out=SourceId&-out=RA_ICRS&-out=DE_ICRS&-out=o_Gmag&-out=o_GBPmag&-out=o_GRPmag&-out=Per&-out=Gmag&-out=GBPmag&-out=GRPmag&-out=Plx&-out=e_Plx&-out=E(BP/RP)&-out=epsi&-out=Signiepsi&-out=RUWE&-out=Class&-out=New&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36250014
#Name: J/A+A/625/A14
#Title: Reclassification of Cepheids in the Gaia DR2 (Ripepi+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/625/a14	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/625/a14	    IVOID of underlying data collection
#INFO	creator=Ripepi V.	    First author or institution
#INFO	cites=bibcode:2019A&A...625A..14R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/625/A14	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36250014	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-02-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_625_A14_table5:
#Name: J/A+A/625/A14/table5
#Title: Reclassification of the Cepheids in Gaia DR2
#Column	SourceId	(I19)	Gaia DR2 source identification	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F9.5)	Right ascension (ICRS) at epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS) at epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	o_Gmag	(I3)	Number of epochs in G	[ucd=meta.number]
#Column	o_GBPmag	(I3)	Number of epochs in GBP	[ucd=meta.number]
#Column	o_GRPmag	(I3)	Number of epochs in GRP	[ucd=meta.number]
#Column	Per	(F11.6)	Period	[ucd=time.period]
#Column	Gmag	(F6.3)	Intensity averaged magnitudes in G	[ucd=phot.mag;em.opt]
#Column	GBPmag	(F6.3)	Intensity averaged magnitudes in GBP	[ucd=phot.mag;em.opt.B]
#Column	GRPmag	(F6.3)	Intensity averaged magnitudes in GRP	[ucd=phot.mag;em.opt.R]
#Column	Plx	(F7.3)	Parallax	[ucd=pos.parallax]
#Column	e_Plx	(F6.3)	Error on parallax	[ucd=stat.error;pos.parallax]
#Column	E(BP/RP)	(F6.3)	Excess of flux in the BP and RP integrated photometry with respect to the G band	[ucd=phot.flux;arith.ratio]
#Column	epsi	(F6.3)	Excess noise of the source	[ucd=stat.fit.param]
#Column	Signiepsi	(F8.3)	Significance of epsi	[ucd=stat.fit.goodness]
#Column	RUWE	(F6.3)	Renormalised unit weight error	[ucd=phys.atmol.weight]
#Column	Class	(a13)	Variability classification from from present work	[ucd=meta.code;src.var]
#Column	New	(A1)	[N] Flag "N" to denote a cepheid not known in the literature	[ucd=meta.code]
SourceId;RA_ICRS;DE_ICRS;o_Gmag;o_GBPmag;o_GRPmag;Per;Gmag;GBPmag;GRPmag;Plx;e_Plx;E(BP/RP);epsi;Signiepsi;RUWE;Class;New
6743391300911829120;287.12054;-35.59478; 14; 13; 12;   0.532460;15.275;15.490;14.876;  0.081; 0.059; 1.215; 0.000;   0.000; 0.901;RRAB         ;
2422853521974230400;000.07391;-10.22146; 37; 33; 32;   1.146780;14.997;15.185;14.752;  0.170; 0.054; 1.208; 0.121;   2.049; 1.117;ACEP_F       ;
4076266530535593472;278.27030;-25.19627; 14; 12; 12;   0.534910;15.362;15.700;14.790;  0.270; 0.057; 1.275; 0.000;   0.000; 0.958;RRAB         ;
6710614339593008384;284.75126;-46.42475; 15; 14; 15;   0.535180;16.065;16.293;15.631;  0.046; 0.071; 1.179; 0.204;   1.956; 1.165;RRAB         ;
1777139991141078912;335.26682;+18.86397; 17; 13; 15;   0.542180;17.644;17.933;17.410; -0.115; 0.150; 1.231; 0.179;   0.347; 1.093;RRAB         ;
4112477232327418752;257.05179;-25.00141; 20; 17; 16;   0.542530;17.296;17.754;16.623; -0.030; 0.107; 1.312; 0.000;   0.000; 0.949;RRAB         ;
6707688680899598336;274.48233;-46.67634; 16; 13; 13;   0.542700;14.877;15.014;14.570;  0.121; 0.046; 1.194; 0.057;   0.354; 1.039;RRAB         ;
6172871347369127040;212.15477;-30.39297; 13; 12; 12;   0.546190;16.532;16.783;16.164;  0.020; 0.097; 1.328; 0.295;   2.406; 1.164;RRAB         ;
4478405971998198784;275.66863;+08.28931; 16; 16; 16;   1.208700;15.591;15.950;15.112;  0.128; 0.049; 1.227; 0.000;   0.000; 0.998;ACEP_F       ;
4652801401061740800;072.89387;-73.52919; 23; 18; 16;   0.548560;17.879;18.198;17.424;  0.110; 0.107; 1.188; 0.000;   0.000; 1.076;DCEP_1O      ;
1746868172580228224;320.55433;+12.56392; 14; 13; 13;   0.551650;14.853;15.139;14.647;  0.045; 0.053; 1.214; 0.000;   0.000; 1.028;RRAB         ;
2613721658154144768;330.29415;-11.40036; 14; 13; 13;   0.560780;15.795;16.004;15.412;  0.026; 0.075; 1.228; 0.145;   1.122; 1.093;RRAB         ;
4075553570245477888;283.00443;-23.42560; 19; 18; 17;   0.561630;16.017;16.532;15.423;  0.208; 0.065; 1.249; 0.000;   0.000; 0.954;RRAB         ;
6719922255280692992;272.40988;-45.34391; 17; 12; 13;   0.563310;16.481;16.719;16.018;  0.164; 0.078; 1.287; 0.000;   0.000; 1.079;OTHER        ;
4087068064011302784;287.43343;-18.77139; 18; 15; 16;   0.566020;13.769;14.006;13.351;  0.217; 0.028; 1.189; 0.000;   0.000; 0.986;RRAB         ;
4499105274811605120;267.37184;+12.23172; 17; 16; 17;   0.569230;13.908;14.134;13.522;  0.110; 0.029; 1.212; 0.043;   0.342; 1.194;RRAB         ;
6133826693035085696;191.34070;-42.40840; 20; 18; 19;   0.569760;15.155;15.430;14.763;  0.131; 0.043; 1.223; 0.000;   0.000; 1.082;RRAB         ;
4040597479946827648;267.71827;-36.03897; 16; 12; 13;   0.571070;16.626;17.076;15.764; -0.039; 0.104; 1.369; 0.384;   4.361; 1.315;RRAB         ;
1745972070608234112;322.53858;+12.22640; 16; 14; 13;   0.574970;15.838;16.122;15.434;  0.264; 0.066; 1.267; 0.197;   2.144; 1.221;RRAB         ;
3882069038746341760;151.85776;+13.94952; 14; 12; 12;   0.576810;13.388;13.442;13.212;  0.096; 0.048; 1.182; 0.051;   0.472; 0.986;RRAB         ;
  99384413653590400;032.78633;+20.44993; 16; 13; 12;   0.579920;13.489;13.819;12.980;  0.234; 0.022; 1.221; 0.000;   0.000; 0.923;RRAB         ;
2564983026409349120;023.54838;+05.89478; 16; 13; 13;   0.583020;17.137;17.438;16.824; -0.177; 0.122; 1.198; 0.216;   0.879; 1.063;RRAB         ;
4076030101140747648;278.95735;-25.49499; 16; 15; 15;   0.584420;16.027;16.568;15.310;  0.118; 0.063; 1.310; 0.000;   0.000; 1.034;RRAB         ;
6759012406208927232;288.36545;-29.92083; 17; 15; 15;   0.587250;13.722;14.016;13.265;  0.187; 0.030; 1.212; 0.000;   0.000; 1.151;RRAB         ;
6743628726704460288;290.26043;-34.87260; 15; 16; 14;   0.589950;15.609;15.736;14.996;  0.064; 0.050; 1.227; 0.107;   0.843; 1.148;RRAB         ;
2572634527826961792;026.06467;+10.23069; 14; 13; 13;   0.590500;15.704;15.912;15.410;  0.024; 0.062; 1.217; 0.000;   0.000; 0.933;RRAB         ;
6647271719531588864;295.14256;-48.74847; 18; 14; 15;   0.592070;16.514;16.826;16.190; -0.066; 0.083; 1.229; 0.147;   0.833; 1.064;RRAB         ;
6725613881551002112;273.34254;-40.96464; 17; 15; 14;   0.594340;14.608;14.883;14.187;  0.159; 0.032; 1.212; 0.000;   0.000; 0.974;RRAB         ;
6761093468179213056;283.15330;-30.51984; 15; 13; 13;   0.594670;18.025;18.262;17.501;  0.064; 0.170; 1.282; 0.216;   0.333; 1.047;RRAB         ;
2584941808153393408;017.09728;+13.63915; 15; 12; 13;   0.598780;14.650;14.863;14.269;  0.151; 0.054; 1.180; 0.000;   0.000; 1.024;RRAB         ;
4100580340364879488;284.23764;-16.46944; 16; 15; 15;   0.599930;15.177;15.707;14.645;  0.107; 0.045; 1.278; 0.000;   0.000; 1.003;RRAB         ;
4073445733415198464;281.00112;-25.36607; 17; 16; 14;   0.600920;16.333;16.707;15.706;  0.007; 0.073; 1.261; 0.180;   1.235; 1.107;RRAB         ;
6007797474808044800;230.70618;-35.79255; 17; 13; 16;   0.601970;15.721;15.881;15.236;  0.043; 0.113; 1.227; 0.000;   0.000; 1.081;RRAB         ;
 334908944015248896;037.36024;+39.52898; 14; 12; 13;   0.602200;15.880;16.295;15.534;  0.139; 0.073; 1.277; 0.000;   0.000; 0.953;RRAB         ;
1361898159212555904;262.18341;+46.27117; 28; 22; 22;   0.602890;18.174;18.418;17.755;  0.056; 0.121; 1.206; 0.209;   0.370; 1.050;RRAB         ;
4178364985531702784;269.48710;-02.76190; 14; 13; 13;   0.603890;16.422;17.063;15.658;  0.118; 0.103; 1.303; 0.275;   2.396; 1.143;RRAB         ;
6096455220523450112;215.09568;-44.53306; 15; 15; 15;   0.607100;11.810;12.098;11.372;  0.540; 0.082; 1.229; 0.000;   0.000; 0.880;RRAB         ;
2570323560543900032;032.38202;+10.16506; 15; 12; 14;   0.608200;17.644;17.880;17.162; -0.035; 0.193; 1.266; 0.076;   0.071; 1.027;RRAB         ;
6709801220687185536;279.16036;-44.89925; 15; 12; 12;   0.608790;14.803;15.099;14.417;  0.110; 0.035; 1.249; 0.000;   0.000; 1.037;RRAB         ;
2755668678019315200;005.69274;+12.42635; 21; 20; 19;   0.610450;17.010;17.211;16.559;  0.047; 0.124; 1.261; 0.000;   0.000; 0.985;RRAB         ;
2710315373857215616;336.74780;+07.58342; 14; 13; 12;   0.611050;13.886;14.202;13.466;  0.227; 0.034; 1.230; 0.000;   0.000; 1.049;RRAB         ;
3618283726658466688;206.36177;-08.26423; 14; 13; 13;   0.616300;16.724;16.944;16.281; -0.073; 0.095; 1.220; 0.000;   0.000; 0.933;RRAB         ;
6760404417989925376;283.88202;-30.85597; 15; 14; 13;   0.616350;17.945;18.134;17.436;  0.108; 0.305; 1.335; 0.537;   2.083; 1.139;RRAB         ;
6600751897953856768;339.39821;-33.14130; 13; 12; 14;   0.619400;17.236;17.488;16.840;  0.150; 0.144; 1.215; 0.000;   0.000; 1.102;RRAB         ;
6761387793719660800;281.59735;-30.12362; 15; 13; 13;   0.624740;18.137;18.427;17.624;  0.071; 0.249; 1.232; 0.424;   0.995; 1.094;RRAB         ;
4649684869708905600;078.33946;-73.18860; 25; 23; 21;   0.625150;17.599;17.851;17.143; -0.009; 0.085; 1.217; 0.000;   0.000; 0.940;DCEP_1O      ;
2408425936552330880;350.12811;-14.79922; 14; 12; 12;   0.626960;12.572;12.796;12.222;  0.291; 0.050; 1.192; 0.000;   0.000; 1.262;RRAB         ;
4102332175955773568;284.20214;-13.62258; 18; 16; 18;   0.632000;16.261;16.817;15.518;  0.180; 0.062; 1.288; 0.176;   1.326; 1.122;RRAB         ;
1745972169389653760;322.54674;+12.23887; 14; 12; 13;   0.632670;15.711;15.999;15.267; -0.098; 0.054; 1.266; 0.115;   0.876; 1.137;RRAB         ;
3787613877455692928;165.78397;-06.51434; 19; 20; 19;   0.633190;14.814;14.951;14.435;  0.114; 0.048; 1.218; 0.142;   2.658; 1.150;RRAB         ;
2640440860156386944;354.15597;-02.21246; 23; 21; 17;   0.645040;13.046;13.199;12.664;  0.193; 0.042; 1.212; 0.104;   3.128; 1.293;RRAB         ;
5834368688367510400;236.68757;-58.04836; 42; 23; 25;   0.646380;16.366;16.880;15.598;  0.539; 0.059; 1.335; 0.000;   0.000; 1.054;OTHER        ;
6061712233648349056;193.94152;-55.57616;117;114;109;   0.648940;17.097;17.451;16.555; -0.002; 0.097; 1.238; 0.000;   0.000; 1.004;DCEP_MULTI   ;N
2688646164337625216;323.29728;+02.25992; 14; 14; 14;   0.654110;16.384;16.531;16.031;  0.207; 0.081; 1.206; 0.000;   0.000; 0.951;RRAB         ;
2678701734498867200;334.47084;-00.09314; 14; 14; 12;   0.655640;14.182;14.296;13.787;  0.145; 0.049; 1.208; 0.077;   0.835; 1.146;RRAB         ;
6760603949304010112;285.33910;-30.13712; 15; 12; 14;   0.656510;13.844;14.121;13.406;  0.210; 0.028; 1.227; 0.000;   0.000; 1.095;RRAB         ;
4038180070547113856;274.17024;-35.77060; 16; 12; 13;   0.657740;15.660;16.020;15.095;  0.018; 0.060; 1.259; 0.076;   0.443; 1.104;RRAB         ;
6683417614538232320;295.55335;-47.52804; 22; 22; 21;   0.658100;15.485;15.664;15.101;  0.002; 0.049; 1.241; 0.000;   0.000; 1.017;RRAB         ;
6104561198198973184;216.27809;-39.71771; 15; 15; 15;   0.663890;15.363;15.571;14.988;  0.221; 0.090; 1.224; 0.167;   1.868; 1.176;RRAB         ;
2684997709878560512;321.29599;-02.76307; 18; 16; 15;   0.663910;16.991;17.191;16.571; -0.044; 0.115; 1.218; 0.285;   1.724; 1.106;RRAB         ;
4757521942202075904;084.00743;-62.92647; 23; 18; 20;   0.668400;17.225;17.488;16.814;  0.011; 0.085; 1.203; 0.000;   0.000; 1.025;DCEP_1O      ;
4263294562218097920;290.79935;-00.70263; 20; 17; 15;   0.675560;13.852;14.309;13.240;  0.277; 0.028; 1.229; 0.000;   0.000; 0.932;RRAB         ;
4648894973678313600;078.74744;-76.16060; 30; 27; 26;   0.684280;17.576;17.851;17.127;  0.096; 0.079; 1.214; 0.000;   0.000; 0.994;DCEP_1O      ;
5956362046015245056;267.88431;-43.03744; 14; 14; 15;   0.688920;13.302;13.666;12.757;  0.255; 0.047; 1.250; 0.000;   0.000; 1.324;RRAB         ;
 426097765508018560;013.85755;+59.72753; 44; 40; 40;   0.699100;13.668;14.183;12.988;  0.112; 0.023; 1.256; 0.000;   0.000; 0.999;DCEP_1O      ;N
4690730875719654656;018.07817;-70.89657; 28; 25; 24;   0.699820;16.793;16.931;16.505;  0.004; 0.066; 1.201; 0.303;   3.233; 1.121;DCEP_2O      ;
5255955821811454592;150.19748;-61.57770; 29; 24; 27;   0.701070;14.736;15.092;14.049;  0.159; 0.023; 1.331; 0.000;   0.000; 1.042;DCEP_1O      ;
5923970188609330304;258.85712;-53.56237; 25; 23; 24;   0.705160;13.520;13.923;12.967;  0.238; 0.023; 1.227; 0.000;   0.000; 1.054;RRAB         ;
5565530879721492352;106.46223;-38.48553; 30; 18; 16;   0.708380;17.415;17.556;16.836; -0.125; 0.082; 1.238; 0.169;   0.580; 1.045;CEP          ;N
4071594911751759872;280.72338;-28.62898; 14; 14; 14;   0.391950;16.182;16.400;15.775; -0.096; 0.089; 1.217; 0.091;   0.355; 1.044;RRC          ;
6310721170295782144;221.26436;-14.98347; 14; 14; 14;   0.719980;17.026;17.248;16.543;  0.083; 0.131; 1.258; 0.000;   0.000; 1.004;RRAB         ;
6380124062227694208;357.83150;-72.69153; 29; 25; 21;   0.722130;17.862;18.068;17.440; -0.013; 0.109; 1.242; 0.114;   0.145; 1.017;DCEP_1O      ;
 348184413049730048;024.30011;+42.57749; 18; 13; 14;   0.732870;17.291;17.611;16.848;  0.023; 0.142; 1.235; 0.000;   0.000; 0.988;RRAB         ;
  69969728833405184;056.64823;+25.60661; 15; 14; 14;   0.734830;15.686;16.012;15.137;  0.015; 0.100; 1.240; 0.000;   0.000; 1.014;RRAB         ;
6414567573936177408;271.93860;-75.42282; 32; 30; 27;   0.740590;16.269;16.575;15.803;  0.137; 0.053; 1.232; 0.073;   0.304; 1.049;RRAB         ;
6317916035087040512;232.37072;-08.76710; 17; 12; 14;   0.754430;17.479;17.890;17.015;  0.097; 0.183; 1.208; 0.279;   0.925; 1.091;RRAB         ;
1693501722163309312;226.50832;+67.47462; 31; 19; 22;   0.763670;18.868;19.111;18.457;  0.064; 0.176; 1.234; 0.000;   0.000; 1.012;OTHER        ;
3442172745919329664;082.35887;+27.00089; 14; 14; 13;   3.349200;11.568;12.214;10.783;  0.264; 0.065; 1.374; 0.000;   0.000; 0.914;DCEP_F       ;
3830315026427160064;154.75121;-02.22486; 16; 16; 13;   0.777160;13.092;13.216;12.665;  0.197; 0.034; 1.234; 0.000;   0.000; 1.103;RRAB         ;
 456215755510110208;032.39808;+54.39660; 18; 15; 16;   0.778440;18.344;19.352;17.358;  0.290; 0.232; 1.386; 0.000;   0.000; 0.918;OTHER        ;
6897755139944897024;320.95353;-07.53483; 15; 13; 13;   0.797460;12.452;12.714;12.022;  0.411; 0.049; 1.219; 0.000;   0.000; 1.139;RRAB         ;
6836508627130440064;326.77736;-18.94681; 16; 16; 14;   0.800080;12.500;12.720;12.088;  0.319; 0.046; 1.210; 0.000;   0.000; 1.181;RRAB         ;
6498717390695909376;351.00500;-57.04665; 40; 37; 37;   0.806120;13.824;13.971;13.465;  0.107; 0.021; 1.214; 0.059;   1.170; 1.139;ACEP_F       ;
6110608443435697536;209.18442;-41.59860; 18; 20; 19;   0.813050;15.615;15.854;15.206;  0.145; 0.041; 1.214; 0.000;   0.000; 0.905;RRAB         ;
4648520761770393088;085.76598;-75.18605; 31; 24; 25;   0.813590;17.250;17.540;16.796; -0.014; 0.064; 1.216; 0.000;   0.000; 0.972;DCEP_1O      ;N
2006888825592397440;339.22478;+56.90582; 33; 32; 31;   0.820630; 8.627; 8.915; 8.181;  0.301; 0.034; 1.240; 0.000;   0.000; 0.838;OTHER        ;
6289382918071528960;210.92062;-21.31741; 13; 12; 12;   0.825760;14.048;14.433;13.442;  0.140; 0.036; 1.233; 0.000;   0.000; 1.182;RRAB         ;
6517084938596655744;336.86332;-49.64311; 33; 26; 27;   0.826420;14.972;15.254;14.686; -0.033; 0.044; 1.227; 0.000;   0.000; 1.096;RRAB         ;
4065566018985121664;274.15981;-23.98300; 17; 12; 12;   0.836300;15.092;15.669;14.280;  0.275; 0.041; 1.296; 0.000;   0.000; 0.990;RRAB         ;
4652889258915055488;072.48404;-73.00018; 26; 24; 21;   0.954880;17.242;17.539;16.765;  0.149; 0.077; 1.243; 0.000;   0.000; 0.921;DCEP_1O      ;
4044981924341043584;278.28412;-32.84722; 17; 14; 14;   0.519860;15.885;16.129;15.416;  0.033; 0.052; 1.264; 0.120;   0.805; 1.086;RRAB         ;
6747245364042812544;298.83610;-33.17826; 24; 23; 22;   0.993340;16.195;16.525;15.811;  0.001; 0.082; 1.261; 0.000;   0.000; 0.944;---          ;
4704080802304630784;012.82014;-68.98430; 32; 25; 24;   0.994690;18.244;18.451;17.791; -0.105; 0.127; 1.258; 0.086;   0.061; 1.031;DCEP_F       ;N
2976160827140900096;073.77906;-19.18685; 38; 32; 34;   1.001440;15.489;15.733;15.058;  0.010; 0.033; 1.235; 0.058;   0.434; 1.069;ACEP_F       ;N
4312135860839059072;283.94833;+11.34281; 16; 16; 16;   1.001660;17.316;17.988;16.519;  0.014; 0.114; 1.306; 0.220;   0.790; 1.023;---          ;
